impression_date,ad_format,audience,cost,impressions,installs,purchasers,revenue_d7
2023-04-24,interstitial display,Tier 1,170.819672,1487,12,0,0.0
2023-04-24,rewarded video,Tier 2,5449.06988599999,21769,114,66,814.1
2023-04-24,interstitial display,Tier 3,791.231619,53830,370,0,0.0
2023-04-25,interstitial display,Tier 2,5337.10912899999,34814,98,62,445.418
2023-04-25,interstitial display,Tier 1,187.596945999999,1537,9,3,6.279
2023-04-25,rewarded video,Tier 1,437.43858,1808,14,8,31.9199999999999
2023-04-25,interstitial display,Tier 3,789.641007,53691,382,4,33.463
2023-04-25,rewarded video,Tier 3,400.477017,16703,115,6,15.94
2023-04-25,rewarded video,Tier 2,5481.193676,22670,108,24,169.666
2023-04-26,rewarded video,Tier 3,400.215165,16539,107,4,13.96
2023-04-26,rewarded video,Tier 1,402.289958999999,1631,8,4,126.96
2023-04-26,interstitial display,Tier 3,795.623485,54931,425,4,7.672
2023-04-26,rewarded video,Tier 2,5155.78516599999,21089,94,17,145.642
2023-04-26,interstitial display,Tier 1,174.864024,1486,13,12,18.116
2023-04-26,interstitial display,Tier 2,5441.28868099999,35273,98,37,139.926
2023-04-27,interstitial display,Tier 2,4849.011747,31911,95,15,104.262
2023-04-27,interstitial display,Tier 1,152.725174,1221,12,5,6.265
2023-04-27,rewarded video,Tier 2,5206.786324,21383,103,56,301.833
2023-04-27,rewarded video,Tier 1,465.449165,2197,8,9,72.91
2023-04-27,rewarded video,Tier 3,400.687402999999,16656,113,0,0.0
2023-04-27,interstitial display,Tier 3,793.634803999999,56093,383,19,45.367
2023-04-28,rewarded video,Tier 3,400.415085999999,15931,119,0,0.0
2023-04-28,interstitial display,Tier 1,161.071833,1206,6,3,4.179
2023-04-28,rewarded video,Tier 1,565.441564,2606,9,1,11.99
2023-04-28,rewarded video,Tier 2,5086.364319,21415,108,55,306.928
2023-04-28,interstitial display,Tier 2,5042.138042,34017,84,55,162.506
2023-04-28,interstitial display,Tier 3,781.251182,56613,430,5,4.165
2023-04-29,rewarded video,Tier 1,597.952306999999,2629,19,24,273.76
2023-04-29,rewarded video,Tier 3,400.674992999999,16309,119,1,1.99
2023-04-29,interstitial display,Tier 3,781.996263999999,55980,433,5,19.0589999999999
2023-04-29,interstitial display,Tier 2,5828.423069,38646,94,92,366.646999999999
2023-04-29,interstitial display,Tier 1,153.535993,1105,8,4,8.372
2023-04-29,rewarded video,Tier 2,5327.40816099999,21212,117,151,1721.383
2023-04-30,rewarded video,Tier 3,415.550571,16500,136,0,0.0
2023-04-30,interstitial display,Tier 3,817.391828999999,58300,435,7,45.936
2023-04-30,rewarded video,Tier 2,5348.68708199999,22116,118,82,371.664
2023-04-30,interstitial display,Tier 2,5857.35381,39100,120,47,162.771
2023-04-30,interstitial display,Test,10.0,200,0,0,0.0
2023-04-30,rewarded video,Tier 1,629.951954,2797,16,23,126.77
2023-04-30,interstitial display,Tier 1,151.763512,1081,9,3,4.879
2023-05-01,rewarded video,Tier 1,481.111616999999,2400,10,0,0.0
2023-05-01,interstitial display,Tier 1,160.029905999999,1230,7,0,0.0
2023-05-01,banner display,Tier 2,500.0,5000,100,10,-50.0
2023-05-01,rewarded video,Tier 2,4949.21128,20305,99,97,228.009599999999
2023-05-01,interstitial display,Tier 3,6251.962256,429808,3336,8,0.0693
2023-05-01,rewarded video,Tier 3,3209.569376,129104,1064,8,9.999
2023-05-01,interstitial display,Tier 2,6058.37537199999,40329,122,47,206.471299999999
2023-05-02,rewarded video,Tier 2,4896.671315,20169,110,87,460.6287
2023-05-02,interstitial display,Tier 2,5931.52691099999,40372,140,57,200.406499999999
2023-05-02,rewarded video,Tier 1,541.502621,2571,14,10,53.83
2023-05-02,interstitial display,Tier 3,6307.81285599999,425360,3408,16,0.5586
2023-05-02,rewarded video,Tier 3,3206.939832,123960,872,0,0.0
2023-05-02,interstitial display,Tier 1,171.451391,1233,10,2,0.970199999999999
2023-05-03,rewarded video,Tier 3,3451.22441599999,134616,1032,0,0.0
2023-05-03,rewarded video,Tier 2,5039.09504499999,19857,105,68,344.3286
2023-05-03,interstitial display,Tier 2,5710.341722,38720,110,90,434.6349
2023-05-03,interstitial display,Tier 1,177.672625,1309,7,0,0.0
2023-05-03,interstitial display,Tier 3,6511.984616,447072,3584,0,0.0
2023-05-03,rewarded video,Tier 1,544.001821,2560,18,4,14.6719999999999
2023-05-04,interstitial display,Tier 1,170.573245,1145,11,2,1.9502
